municipality,avg_price,avg_surface,population,pop_density,size,avg_income,schiphol_distance,station_count,express_train_station_count,interchange_intercity_station_count,interchange_local_train_station_count,intercity_station_count,local_train_station_count,mega_station_count,m2_price
Aa en Hunze,411021.0,183.0,25724.0,93.0,27606.0,36.7,153.22683676323877,0,0,0,0,0,0,0,2246.0163934426228
Aalsmeer,536574.0,126.0,33063.0,1645.0,2010.0,41.5,6.461962753581837,0,0,0,0,0,0,0,4258.523809523809
Aalten,318710.0,140.0,27244.0,282.0,9653.0,34.1,131.30381439861222,1,0,0,0,0,1,0,2276.5
Achtkarspelen,319773.0,142.0,28149.0,275.0,10221.0,31.2,137.2109917555231,1,0,0,0,0,0,0,2251.9225352112676
Alblasserdam,359952.0,109.0,20356.0,2320.0,877.0,35.2,50.51158090748316,0,0,0,0,0,0,0,3302.3119266055046
Albrandswaard,468361.0,129.0,26357.0,1217.0,2167.0,41.8,55.79176557881386,0,0,0,0,0,0,0,3630.705426356589
Alkmaar,393418.0,104.0,111834.0,1014.0,11031.0,35.0,31.883673212532784,2,0,1,0,0,1,0,3782.8653846153848
Almelo,306698.0,120.0,73949.0,1101.0,6718.0,31.5,129.98368708847872,2,0,1,0,0,1,0,2555.8166666666666
Almere,424531.0,113.0,222825.0,1725.0,12918.0,35.5,34.33355077658277,6,0,1,0,0,5,0,3756.9115044247787
Alphen aan den Rijn,401474.0,116.0,114182.0,907.0,12593.0,37.3,23.527992477226018,2,0,1,0,0,1,0,3460.9827586206898
Alphen-Chaam,461830.0,171.0,10463.0,113.0,9298.0,40.0,90.92576238608639,0,0,0,0,0,0,0,2700.7602339181285
Altena,404703.0,140.0,57726.0,289.0,19974.0,37.5,62.665671956277734,0,0,0,0,0,0,0,2890.7357142857145
Ameland,353454.0,144.0,3840.0,68.0,5659.0,47.5,142.64514172273348,0,0,0,0,0,0,0,2454.5416666666665
Amersfoort,466025.0,112.0,160759.0,2572.0,6249.0,37.6,46.03284512468587,4,0,1,0,0,3,0,4160.9375
