municipality,avg_price,avg_surface,population,pop_density,size,avg_income,unemp_rate,net_labor_participation,nearest_city,distance_to_nearest_city,station_count,express_train_station_count,interchange_intercity_station_count,interchange_local_train_station_count,intercity_station_count,local_train_station_count,mega_station_count,total_traffic,m2_price
Aa en Hunze,411021.0,183.0,25724.0,93.0,27606.0,36.7,2.7,71.4,Groningen,27.50573970300652,0,0,0,0,0,0,0,0,2246.0163934426228
Aalsmeer,536574.0,126.0,33063.0,1645.0,2010.0,41.5,3.1,78.4,Amsterdam,15.790942415780567,0,0,0,0,0,0,0,0,4258.523809523809
Aalten,318710.0,140.0,27244.0,282.0,9653.0,34.1,2.7,73.9,'s-Hertogenbosch,89.92881295956465,1,0,0,0,0,1,0,24923,2276.5
Achtkarspelen,319773.0,142.0,28149.0,275.0,10221.0,31.2,3.2,72.2,Groningen,28.21505295157997,1,0,0,0,0,0,0,34838,2251.9225352112676
Alblasserdam,359952.0,109.0,20356.0,2320.0,877.0,35.2,3.1,75.6,Rotterdam,14.469833577712933,0,0,0,0,0,0,0,0,3302.3119266055046
Albrandswaard,468361.0,129.0,26357.0,1217.0,2167.0,41.8,3.0,76.4,Rotterdam,8.533938173688913,0,0,0,0,0,0,0,0,3630.705426356589
Alkmaar,393418.0,104.0,111834.0,1014.0,11031.0,35.0,3.4,73.1,Amsterdam,26.772804362399423,2,0,1,0,0,1,0,128644,3782.8653846153848
Almelo,306698.0,120.0,73949.0,1101.0,6718.0,31.5,4.0,70.7,Groningen,97.04999484182952,2,0,1,0,0,1,0,131255,2555.8166666666666
Almere,424531.0,113.0,222825.0,1725.0,12918.0,35.5,4.1,73.5,Amsterdam,23.238827534500565,6,0,1,0,0,5,0,434613,3756.9115044247787
Alphen aan den Rijn,401474.0,116.0,114182.0,907.0,12593.0,37.3,3.0,76.0,The Hague,23.728106178443777,2,0,1,0,0,1,0,119416,3460.9827586206898
Alphen-Chaam,461830.0,171.0,10463.0,113.0,9298.0,40.0,2.6,73.1,Breda,11.19373993730992,0,0,0,0,0,0,0,0,2700.7602339181285
Altena,404703.0,140.0,57726.0,289.0,19974.0,37.5,2.6,75.6,Tilburg,21.447907447318656,0,0,0,0,0,0,0,0,2890.7357142857145
Ameland,353454.0,144.0,3840.0,68.0,5659.0,47.5,2.9,74.6,Groningen,60.50234108626485,0,0,0,0,0,0,0,0,2454.5416666666665
Amersfoort,466025.0,112.0,160759.0,2572.0,6249.0,37.6,3.6,76.4,Utrecht,20.195481300237503,4,0,1,0,0,3,0,370306,4160.9375
Amstelveen,615382.0,108.0,94418.0,2297.0,4111.0,40.7,4.1,73.8,Amsterdam,9.440665154583757,0,0,0,0,0,0,0,0,5697.981481481482
Amsterdam,568161.0,77.0,918117.0,4880.0,18812.0,36.8,5.0,72.9,Amsterdam,0.4484067223779206,11,0,1,2,2,5,1,1378682,7378.714285714285
Apeldoorn,407625.0,120.0,167191.0,492.0,33986.0,35.3,3.3,73.8,Utrecht,55.65205614368325,3,0,1,0,0,2,0,129507,3396.875
Arnhem,369114.0,104.0,165770.0,1696.0,9774.0,31.7,4.0,72.5,'s-Hertogenbosch,52.66015891261761,4,0,1,0,0,3,0,336645,3549.173076923077
Assen,334100.0,119.0,69414.0,848.0,8188.0,32.8,3.6,72.4,Groningen,24.223010947632623,1,0,1,0,0,0,0,54884,2807.563025210084
Asten,439900.0,162.0,17242.0,246.0,7021.0,35.8,2.9,74.3,Eindhoven,22.38614396603467,0,0,0,0,0,0,0,0,2715.432098765432
Baarle-Nassau,391221.0,163.0,7071.0,93.0,7612.0,35.8,2.9,69.7,Breda,17.07286471019341,0,0,0,0,0,0,0,0,2400.128834355828
Baarn,539068.0,118.0,25008.0,769.0,3254.0,41.5,3.3,72.9,Utrecht,15.868620921516381,1,0,0,1,0,0,0,51068,4568.372881355932
Barendrecht,466518.0,127.0,48812.0,2493.0,1958.0,41.0,3.2,75.4,Rotterdam,8.912705364370636,1,0,0,0,0,1,0,44549,3673.3700787401576
Barneveld,488905.0,136.0,61655.0,351.0,17584.0,37.4,2.8,77.9,Utrecht,36.38749146626961,3,0,0,0,0,3,0,125034,3594.889705882353
Beek,331369.0,147.0,16132.0,766.0,2107.0,35.7,3.1,70.7,Maastricht,12.404494808586719,1,0,0,0,0,1,0,18035,2254.2108843537417
Beekdaelen,335685.0,165.0,35966.0,459.0,7830.0,35.8,2.9,69.8,Maastricht,17.04746210637929,2,0,0,0,0,2,0,36071,2034.4545454545455
Beesel,344540.0,142.0,13449.0,482.0,2788.0,33.4,3.1,71.6,Eindhoven,45.48168172192202,1,0,0,0,0,1,0,26128,2426.3380281690143
Berg en Dal,427618.0,135.0,35420.0,410.0,8639.0,35.1,3.0,70.5,'s-Hertogenbosch,46.49394724216259,0,0,0,0,0,0,0,0,3167.5407407407406
Bergeijk,422328.0,172.0,19092.0,189.0,10102.0,39.2,2.7,74.4,Eindhoven,15.322212048905735,0,0,0,0,0,0,0,0,2455.3953488372094
Bergen (L.),337950.0,158.0,13119.0,127.0,10326.0,34.2,3.0,71.5,Eindhoven,47.25844743171804,0,0,0,0,0,0,0,0,2138.9240506329115
Bergen (NH.),688064.0,131.0,30138.0,304.0,9900.0,43.6,3.0,68.9,Amsterdam,36.514954894352385,0,0,0,0,0,0,0,0,5252.396946564885
Bergen op Zoom,338389.0,121.0,68864.0,861.0,7997.0,34.4,3.6,70.3,Breda,34.02009321098536,1,0,0,0,0,1,0,39980,2796.603305785124
Berkelland,401334.0,154.0,44022.0,171.0,25809.0,34.6,2.8,72.6,'s-Hertogenbosch,97.7918382811723,1,0,0,0,0,1,0,22908,2606.064935064935
Bernheze,496395.0,162.0,32263.0,360.0,8973.0,38.9,2.7,75.4,'s-Hertogenbosch,15.011326944099759,0,0,0,0,0,0,0,0,3064.1666666666665
Best,452216.0,141.0,30897.0,912.0,3389.0,38.5,3.1,75.6,Eindhoven,11.268529477877863,1,0,0,0,0,1,0,44503,3207.205673758865
Beuningen,422424.0,137.0,26573.0,609.0,4360.0,37.3,3.1,74.5,'s-Hertogenbosch,34.996443089313736,0,0,0,0,0,0,0,0,3083.3868613138684
Beverwijk,369981.0,99.0,42711.0,2327.0,1835.0,34.1,3.6,73.8,Amsterdam,21.24547844747138,1,0,0,0,0,1,0,28160,3737.181818181818
De Bilt,608049.0,130.0,43884.0,663.0,6619.0,44.1,3.3,73.1,Utrecht,6.702159939086262,2,0,0,0,0,2,0,76573,4677.3
Bladel,441886.0,154.0,21009.0,279.0,7533.0,37.4,2.8,75.6,Eindhoven,16.52190268387723,0,0,0,0,0,0,0,0,2869.3896103896104
Blaricum,1070259.0,170.0,12490.0,1128.0,1107.0,62.8,3.0,71.9,Utrecht,23.099338906703814,0,0,0,0,0,0,0,0,6295.641176470588
Bloemendaal,1088814.0,166.0,23922.0,602.0,3977.0,74.3,3.1,72.3,Amsterdam,21.651777766706047,2,0,0,0,0,2,0,56765,6559.120481927711
Bodegraven-Reeuwijk,459624.0,131.0,36308.0,482.0,7540.0,40.6,2.9,75.7,Utrecht,24.488730064821272,1,0,0,0,0,1,0,38517,3508.5801526717555
Boekel,445458.0,171.0,11163.0,324.0,3450.0,38.7,2.7,76.8,Eindhoven,25.935864223604735,0,0,0,0,0,0,0,0,2605.0175438596493
Borger-Odoorn,345005.0,150.0,25919.0,94.0,27469.0,34.1,2.9,70.5,Groningen,40.42159296902862,0,0,0,0,0,0,0,0,2300.0333333333333
Borne,378701.0,143.0,24524.0,944.0,2599.0,36.6,2.9,75.5,Groningen,101.64550126327033,1,0,0,0,0,1,0,29117,2648.2587412587413
Borsele,337098.0,147.0,23159.0,164.0,14147.0,36.4,2.6,75.0,Breda,67.52585270171943,0,0,0,0,0,0,0,0,2293.183673469388
Boxtel,445741.0,141.0,33748.0,489.0,6901.0,37.1,3.0,74.3,'s-Hertogenbosch,12.95037571986293,1,0,0,1,0,0,0,46398,3161.2836879432625
Breda,437260.0,117.0,186438.0,1483.0,12569.0,36.1,3.7,74.2,Breda,1.6114667663247084,2,0,1,0,0,1,0,119638,3737.264957264957
Bronckhorst,448373.0,162.0,36277.0,128.0,28353.0,38.1,2.6,72.5,'s-Hertogenbosch,78.81331894073627,1,0,0,0,0,1,0,22909,2767.7345679012346
Brummen,381877.0,131.0,21105.0,252.0,8363.0,36.5,2.9,72.8,Utrecht,68.12577000167342,2,0,0,0,0,2,0,43971,2915.091603053435
Brunssum,254101.0,125.0,27682.0,1606.0,1724.0,30.9,3.7,66.5,Maastricht,22.719891210843407,0,0,0,0,0,0,0,0,2032.808
Bunnik,550477.0,135.0,16026.0,434.0,3693.0,41.2,2.8,76.6,Utrecht,8.350846398667738,1,0,0,0,0,1,0,31729,4077.607407407407
Bunschoten,441758.0,125.0,22500.0,740.0,3039.0,37.9,2.7,77.6,Utrecht,23.119716140514264,0,0,0,0,0,0,0,0,3534.064
Buren,489397.0,158.0,27725.0,208.0,13360.0,39.0,2.7,75.0,Utrecht,25.682227296083934,0,0,0,0,0,0,0,0,3097.4493670886077
Capelle aan den IJssel,365589.0,103.0,67552.0,4777.0,1414.0,34.5,4.1,71.2,Rotterdam,7.286224080795859,1,0,0,0,0,1,0,28803,3549.4077669902913
Castricum,484354.0,122.0,36345.0,732.0,4964.0,41.1,2.8,74.1,Amsterdam,25.858057866268293,1,0,0,0,1,0,0,71303,3970.1147540983607
Coevorden,352000.0,144.0,35700.0,121.0,29611.0,33.8,3.0,69.4,Groningen,54.42501384610618,2,0,0,0,0,1,0,46684,2444.4444444444443
Cranendonck,401855.0,156.0,20851.0,273.0,7650.0,36.6,2.9,71.2,Eindhoven,17.817330516095986,1,0,0,0,0,1,0,21567,2575.99358974359
Culemborg,427235.0,120.0,29729.0,1016.0,2927.0,36.4,3.2,74.1,Utrecht,17.172261826082536,1,0,0,0,0,1,0,61421,3560.2916666666665
Dalfsen,453709.0,157.0,29612.0,179.0,16502.0,36.7,2.6,76.4,Groningen,80.72179012927899,1,1,0,0,0,0,0,29953,2889.8662420382166
Dantumadiel,332254.0,147.0,19194.0,227.0,8460.0,31.6,3.1,71.8,Groningen,39.37511952509529,2,0,0,0,0,2,0,64149,2260.2312925170068
Delft,388177.0,88.0,106086.0,4681.0,2266.0,29.7,4.6,72.0,The Hague,9.100448748682293,2,0,1,0,0,1,0,170989,4411.102272727273
Deurne,412143.0,162.0,32977.0,282.0,11676.0,35.5,2.9,74.0,Eindhoven,25.315646570185585,1,0,0,0,0,1,0,52589,2544.0925925925926
Deventer,367666.0,113.0,102781.0,787.0,13056.0,33.3,3.6,73.3,Utrecht,78.45215920339288,2,0,1,0,0,1,0,118615,3253.6814159292035
Diemen,510732.0,90.0,32785.0,2744.0,1195.0,35.1,4.2,73.9,Amsterdam,6.533264237681883,2,0,0,0,0,2,0,95707,5674.8
Dijk en Waard,401787.0,119.0,88985.0,1438.0,6190.0,36.5,3.1,74.9,Amsterdam,35.3718308828878,1,0,0,1,0,0,0,58175,3376.361344537815
Dinkelland,396513.0,165.0,26743.0,152.0,17572.0,38.4,2.6,75.2,Groningen,97.00581260103611,0,0,0,0,0,0,0,0,2403.109090909091
Doesburg,361938.0,122.0,11081.0,959.0,1156.0,32.8,3.5,67.4,'s-Hertogenbosch,68.14030819148293,0,0,0,0,0,0,0,0,2966.7049180327867
Doetinchem,366531.0,126.0,59195.0,749.0,7904.0,34.1,3.2,72.8,'s-Hertogenbosch,73.50292377669622,4,0,0,1,0,3,0,143057,2908.9761904761904
Dongen,407522.0,136.0,27200.0,930.0,2923.0,36.5,2.8,75.7,Tilburg,8.920258195836759,0,0,0,0,0,0,0,0,2996.485294117647
Dordrecht,337051.0,104.0,121434.0,1566.0,7756.0,34.3,3.7,72.0,Rotterdam,22.415221293613723,3,0,1,0,0,2,0,260673,3240.875
Drechterland,443472.0,146.0,20385.0,346.0,5888.0,38.1,2.8,74.3,Amsterdam,37.41655465483232,1,0,0,0,0,1,0,30432,3037.4794520547944
Drimmelen,404271.0,143.0,27994.0,295.0,9505.0,37.6,2.7,75.0,Breda,14.219646988159035,0,0,0,0,0,0,0,0,2827.0699300699303
Dronten,391106.0,135.0,43593.0,131.0,33360.0,35.1,3.1,74.6,Amsterdam,56.094483157956574,1,0,0,0,0,1,0,28409,2897.0814814814817
Druten,393365.0,142.0,19505.0,520.0,3752.0,36.0,2.8,74.8,'s-Hertogenbosch,28.964341783346914,0,0,0,0,0,0,0,0,2770.176056338028
Duiven,378523.0,128.0,24937.0,736.0,3388.0,35.9,3.0,74.3,'s-Hertogenbosch,56.216633414775586,1,0,0,0,0,1,0,39226,2957.2109375
Echt-Susteren,323939.0,160.0,31967.0,310.0,10302.0,34.6,3.1,68.7,Maastricht,30.169213000896153,2,0,0,0,0,2,0,50027,2024.61875
Edam-Volendam,401690.0,128.0,36760.0,677.0,5432.0,40.2,2.6,74.6,Amsterdam,20.78526352589761,0,0,0,0,0,0,0,0,3138.203125
Ede,428788.0,120.0,122012.0,384.0,31815.0,36.4,3.1,75.7,Utrecht,41.45822972924833,4,0,1,0,0,3,0,179782,3573.233333333333
Eemnes,469958.0,135.0,9598.0,309.0,3104.0,40.9,2.9,75.0,Utrecht,20.866771761508023,0,0,0,0,0,0,0,0,3481.17037037037
Eemsdelta,258900.0,141.0,45394.0,169.0,26807.0,31.0,3.7,68.1,Groningen,21.807330148087274,5,0,0,0,0,5,0,111968,1836.1702127659576
Eersel,497606.0,166.0,20004.0,243.0,8247.0,40.5,2.6,75.5,Eindhoven,10.690952878342332,0,0,0,0,0,0,0,0,2997.626506024096
Eijsden-Margraten,401290.0,171.0,25991.0,335.0,7756.0,38.6,2.8,71.6,Maastricht,8.015425791865475,1,0,0,0,0,1,0,12648,2346.7251461988303
Eindhoven,404275.0,108.0,243730.0,2769.0,8802.0,33.3,4.1,73.9,Eindhoven,3.007639412129022,2,0,0,0,0,1,1,205378,3743.287037037037
Elburg,391847.0,129.0,24037.0,377.0,6382.0,35.2,2.8,76.2,Utrecht,61.13067970355045,1,0,0,0,0,1,0,27050,3037.5736434108526
Emmen,297463.0,132.0,108765.0,324.0,33533.0,31.5,3.5,67.8,Groningen,58.55049560472552,3,3,0,0,0,0,0,82484,2253.507575757576
Enkhuizen,340683.0,112.0,18885.0,1491.0,1266.0,34.8,3.3,72.8,Amsterdam,45.990299002378194,1,0,0,0,0,1,0,29816,3041.8125
Enschede,330955.0,107.0,161235.0,1146.0,14073.0,29.2,4.4,70.3,Groningen,112.97458495233305,4,0,1,0,0,3,0,166483,3093.03738317757
Epe,487968.0,136.0,33283.0,213.0,15612.0,37.0,2.8,73.0,Utrecht,62.45979163927692,0,0,0,0,0,0,0,0,3588.0
Ermelo,489950.0,131.0,27496.0,321.0,8564.0,37.5,2.9,73.7,Utrecht,43.27377462520007,1,0,0,0,0,1,0,26243,3740.0763358778627
Etten-Leur,404599.0,127.0,44578.0,806.0,5529.0,35.6,3.2,73.8,Breda,8.524824003286929,1,0,0,0,1,0,0,28193,3185.818897637795
De Fryske Marren,363811.0,152.0,51992.0,148.0,35121.0,35.1,3.1,72.6,Groningen,65.59968520322967,0,0,0,0,0,0,0,0,2393.4934210526317
Geertruidenberg,386542.0,128.0,22099.0,831.0,2660.0,35.7,2.8,75.2,Breda,15.940745916899468,0,0,0,0,0,0,0,0,3019.859375
Geldrop-Mierlo,434446.0,133.0,40441.0,1304.0,3101.0,36.8,3.3,73.5,Eindhoven,8.655620995181726,1,0,0,1,0,0,0,21561,3266.5112781954886
Gemert-Bakel,438779.0,165.0,31383.0,257.0,12207.0,35.3,2.8,74.5,Eindhoven,24.092427214843518,0,0,0,0,0,0,0,0,2659.266666666667
Gennep,381468.0,147.0,17764.0,373.0,4757.0,34.6,3.2,71.9,'s-Hertogenbosch,46.99854340966123,0,0,0,0,0,0,0,0,2595.0204081632655
Gilze en Rijen,404290.0,132.0,26815.0,410.0,6538.0,35.3,2.9,73.8,Tilburg,9.805510017835124,1,0,0,0,0,1,0,23124,3062.8030303030305
Goeree-Overflakkee,386668.0,129.0,51590.0,197.0,26220.0,36.9,2.7,75.4,Rotterdam,31.16079436735829,0,0,0,0,0,0,0,0,2997.4263565891474
Goes,344828.0,121.0,39433.0,426.0,9248.0,34.9,2.8,73.8,Rotterdam,63.02298899804319,1,0,0,0,0,1,0,41799,2849.818181818182
Goirle,469884.0,137.0,24177.0,563.0,4297.0,37.8,2.9,73.1,Tilburg,8.286071166544101,0,0,0,0,0,0,0,0,3429.810218978102
Gooise Meren,656361.0,124.0,60341.0,1456.0,4143.0,46.3,3.3,75.1,Amsterdam,17.168525974838353,2,0,0,1,0,1,0,108138,5293.2338709677415
Gorinchem,395739.0,106.0,38461.0,2055.0,1871.0,37.7,3.4,74.0,'s-Hertogenbosch,27.447703510403375,1,0,0,1,0,0,0,41254,3733.3867924528304
Gouda,363025.0,102.0,75316.0,4565.0,1650.0,34.9,3.5,73.0,Rotterdam,18.440703576835446,2,0,1,0,0,1,0,232840,3559.0686274509803
's-Gravenhage,413689.0,94.0,562839.0,6827.0,8244.0,33.8,4.7,69.3,The Hague,0.25733695520084854,4,0,1,0,0,2,1,429350,4400.946808510638
Groningen,349931.0,103.0,238147.0,1284.0,18553.0,28.7,4.8,71.2,Groningen,3.634166000012917,4,0,1,0,0,3,0,353569,3397.3883495145633
Gulpen-Wittem,355648.0,161.0,14210.0,194.0,7318.0,35.8,3.0,67.4,Maastricht,15.785624980182005,0,0,0,0,0,0,0,0,2208.9937888198756
