"Arbeidsdeelname; regionale indeling 2023"
"Persoonskenmerken: Totaal personen"
"Perioden: 2023"
"";"Onderwerp"
"";"Beroepsbevolking|Werkloosheidspercentage";"Netto arbeidsparticipatie"
"Regio's";"%";"%"
"Aa en Hunze";"2,7";"71,4"
"Aalsmeer";"3,1";"78,4"
"Aalten";"2,7";"73,9"
"Achtkarspelen";"3,2";"72,2"
"Alblasserdam";"3,1";"75,6"
"Albrandswaard";"3,0";"76,4"
"Alkmaar";"3,4";"73,1"
"Almelo";"4,0";"70,7"
"Almere";"4,1";"73,5"
"Alphen aan den Rijn";"3,0";"76,0"
"Alphen-Chaam";"2,6";"73,1"
"Altena";"2,6";"75,6"
"Ameland";"2,9";"74,6"
"Amersfoort";"3,6";"76,4"
"Amstelveen";"4,1";"73,8"
"Amsterdam";"5,0";"72,9"
"Apeldoorn";"3,3";"73,8"
"Arnhem";"4,0";"72,5"
"Assen";"3,6";"72,4"
"Asten";"2,9";"74,3"
"Baarle-Nassau";"2,9";"69,7"
"Baarn";"3,3";"72,9"
"Barendrecht";"3,2";"75,4"
"Barneveld";"2,8";"77,9"
"Beek (L.)";"3,1";"70,7"
"Beekdaelen";"2,9";"69,8"
"Beesel";"3,1";"71,6"
"Berg en Dal";"3,0";"70,5"
"Bergeijk";"2,7";"74,4"
"Bergen (L.)";"3,0";"71,5"
"Bergen (NH.)";"3,0";"68,9"
"Bergen op Zoom";"3,6";"70,3"
"Berkelland";"2,8";"72,6"
"Bernheze";"2,7";"75,4"
"Best";"3,1";"75,6"
"Beuningen";"3,1";"74,5"
"Beverwijk";"3,6";"73,8"
"De Bilt";"3,3";"73,1"
"Bladel";"2,8";"75,6"
"Blaricum";"3,0";"71,9"
"Bloemendaal";"3,1";"72,3"
"Bodegraven-Reeuwijk";"2,9";"75,7"
"Boekel";"2,7";"76,8"
"Borger-Odoorn";"2,9";"70,5"
"Borne";"2,9";"75,5"
"Borsele";"2,6";"75,0"
"Boxtel";"3,0";"74,3"
"Breda";"3,7";"74,2"
"Bronckhorst";"2,6";"72,5"
"Brummen";"2,9";"72,8"
"Brunssum";"3,7";"66,5"
"Bunnik";"2,8";"76,6"
"Bunschoten";"2,7";"77,6"
"Buren";"2,7";"75,0"
"Capelle aan den IJssel";"4,1";"71,2"
"Castricum";"2,8";"74,1"
"Coevorden";"3,0";"69,4"
"Cranendonck";"2,9";"71,2"
"Culemborg";"3,2";"74,1"
"Dalfsen";"2,6";"76,4"
"Dantumadiel";"3,1";"71,8"
"Delft";"4,6";"72,0"
"Deurne";"2,9";"74,0"
"Deventer";"3,6";"73,3"
"Diemen";"4,2";"73,9"
"Dijk en Waard";"3,1";"74,9"
"Dinkelland";"2,6";"75,2"
"Doesburg";"3,5";"67,4"
"Doetinchem";"3,2";"72,8"
"Dongen";"2,8";"75,7"
"Dordrecht";"3,7";"72,0"
"Drechterland";"2,8";"74,3"
"Drimmelen";"2,7";"75,0"
"Dronten";"3,1";"74,6"
"Druten";"2,8";"74,8"
"Duiven";"3,0";"74,3"
"Echt-Susteren";"3,1";"68,7"
"Edam-Volendam";"2,6";"74,6"
"Ede";"3,1";"75,7"
"Eemnes";"2,9";"75,0"
"Eemsdelta";"3,7";"68,1"
"Eersel";"2,6";"75,5"
"Eijsden-Margraten";"2,8";"71,6"
"Eindhoven";"4,1";"73,9"
"Elburg";"2,8";"76,2"
"Emmen";"3,5";"67,8"
"Enkhuizen";"3,3";"72,8"
"Enschede";"4,4";"70,3"
"Epe";"2,8";"73,0"
"Ermelo";"2,9";"73,7"
"Etten-Leur";"3,2";"73,8"
"De Fryske Marren";"3,1";"72,6"
"Geertruidenberg";"2,8";"75,2"
"Geldrop-Mierlo";"3,3";"73,5"
"Gemert-Bakel";"2,8";"74,5"
"Gennep";"3,2";"71,9"
"Gilze en Rijen";"2,9";"73,8"
"Goeree-Overflakkee";"2,7";"75,4"
"Goes";"2,8";"73,8"
"Goirle";"2,9";"73,1"
"Gooise Meren";"3,3";"75,1"
"Gorinchem";"3,4";"74,0"
"Gouda";"3,5";"73,0"
"'s-Gravenhage (gemeente)";"4,7";"69,3"
"Groningen (gemeente)";"4,8";"71,2"
"Gulpen-Wittem";"3,0";"67,4"
"Haaksbergen";"2,9";"73,6"
"Haarlem";"3,7";"75,1"
"Haarlemmermeer";"3,5";"76,0"
"Halderberge";"3,1";"72,7"
"Hardenberg";"2,9";"74,9"
"Harderwijk";"3,1";"74,9"
"Hardinxveld-Giessendam";"2,7";"77,2"
"Harlingen";"3,5";"70,0"
"Hattem";"2,8";"75,7"
"Heemskerk";"3,3";"72,8"
"Heemstede";"3,2";"73,2"
"Heerde";"2,6";"74,3"
"Heerenveen";"3,5";"73,3"
"Heerlen";"4,1";"64,0"
"Heeze-Leende";"2,7";"73,2"
"Heiloo";"3,0";"73,0"
"Den Helder";"3,5";"70,4"
"Hellendoorn";"2,7";"75,5"
"Helmond";"3,8";"72,7"
"Hendrik-Ido-Ambacht";"2,9";"77,8"
"Hengelo (O.)";"3,6";"73,2"
"'s-Hertogenbosch";"3,3";"74,3"
"Heumen";"3,0";"74,1"
"Heusden";"2,8";"74,4"
"Hillegom";"3,0";"75,5"
"Hilvarenbeek";"2,5";"74,9"
"Hilversum";"3,6";"74,3"
"Hoeksche Waard";"2,7";"75,3"
"Hof van Twente";"2,8";"74,4"
"Het Hogeland";"3,1";"70,7"
"Hollands Kroon";"2,9";"73,5"
"Hoogeveen";"3,2";"72,5"
"Hoorn";"3,5";"72,4"
"Horst aan de Maas";"2,8";"76,2"
"Houten";"2,8";"76,0"
"Huizen";"3,3";"71,4"
"Hulst";"2,8";"68,9"
"IJsselstein";"3,2";"75,8"
"Kaag en Braassem";"2,8";"76,5"
"Kampen";"3,0";"76,4"
"Kapelle";"2,4";"76,3"
"Katwijk";"2,8";"77,0"
"Kerkrade";"3,8";"63,9"
"Koggenland";"2,7";"75,7"
"Krimpen aan den IJssel";"3,2";"73,6"
"Krimpenerwaard";"2,9";"75,1"
"Laarbeek";"2,7";"74,3"
"Land van Cuijk";"2,8";"74,2"
"Landgraaf";"3,5";"66,2"
"Landsmeer";"3,1";"73,2"
"Lansingerland";"2,9";"77,8"
"Laren (NH.)";"3,1";"70,0"
"Leeuwarden";"4,5";"71,8"
"Leiden";"4,1";"74,3"
"Leiderdorp";"3,1";"74,6"
"Leidschendam-Voorburg";"3,5";"72,2"
"Lelystad";"3,8";"71,4"
"Leudal";"2,9";"71,7"
"Leusden";"2,9";"74,7"
"Lingewaard";"2,7";"75,3"
"Lisse";"2,9";"75,4"
"Lochem";"2,9";"71,8"
"Loon op Zand";"2,7";"74,8"
"Lopik";"2,7";"76,9"
"Losser";"2,9";"72,1"
"Maasdriel";"2,8";"75,4"
"Maasgouw";"2,9";"69,7"
"Maashorst";"3,0";"74,4"
"Maassluis";"3,6";"71,9"
"Maastricht";"4,4";"66,1"
"Medemblik";"3,0";"73,5"
"Meerssen";"2,9";"70,9"
"Meierijstad";"2,8";"75,2"
"Meppel";"3,2";"74,5"
"Middelburg (Z.)";"3,0";"73,0"
"Midden-Delfland";"2,6";"77,0"
"Midden-Drenthe";"2,8";"72,4"
"Midden-Groningen";"3,6";"70,1"
"Moerdijk";"2,9";"74,2"
"Molenlanden";"2,6";"77,1"
"Montferland";"2,9";"72,1"
"Montfoort";"2,7";"77,6"
"Mook en Middelaar";"2,8";"71,4"
"Neder-Betuwe";"2,8";"76,4"
"Nederweert";"2,8";"73,5"
"Nieuwegein";"3,5";"73,0"
"Nieuwkoop";"2,7";"76,3"
"Nijkerk";"2,7";"76,5"
"Nijmegen";"4,0";"72,4"
"Nissewaard";"3,6";"71,0"
"Noardeast-Fryslân";"3,3";"72,5"
"Noord-Beveland";"2,7";"69,7"
"Noordenveld";"2,9";"71,7"
"Noordoostpolder";"3,2";"75,2"
"Noordwijk";"2,9";"75,1"
"Nuenen, Gerwen en Nederwetten";"2,8";"74,0"
"Nunspeet";"2,7";"75,0"
"Oegstgeest";"3,1";"75,4"
"Oirschot";"2,6";"75,1"
"Oisterwijk";"2,7";"74,4"
"Oldambt";"3,6";"68,1"
"Oldebroek";"2,6";"75,3"
"Oldenzaal";"3,0";"73,9"
"Olst-Wijhe";"2,8";"74,6"
"Ommen";"2,9";"74,3"
"Oost Gelre";"2,6";"75,3"
"Oosterhout";"3,2";"72,8"
"Ooststellingwerf";"3,2";"71,0"
"Oostzaan";"2,9";"74,8"
"Opmeer";"2,7";"75,1"
"Opsterland";"3,0";"73,3"
"Oss";"3,2";"73,3"
"Oude IJsselstreek";"3,0";"72,0"
"Ouder-Amstel";"3,5";"74,1"
"Oudewater";"2,7";"75,7"
"Overbetuwe";"2,6";"76,1"
"Papendrecht";"3,2";"73,9"
"Peel en Maas";"2,8";"75,4"
"Pekela";"3,4";"69,8"
"Pijnacker-Nootdorp";"3,0";"78,5"
"Purmerend";"3,4";"73,6"
"Putten";"2,6";"75,1"
"Raalte";"2,7";"75,6"
"Reimerswaal";"2,8";"76,3"
"Renkum";"3,1";"70,9"
"Renswoude";"2,6";"79,3"
"Reusel-De Mierden";"2,7";"74,0"
"Rheden";"3,3";"70,6"
"Rhenen";"3,1";"74,6"
"Ridderkerk";"3,4";"72,8"
"Rijssen-Holten";"2,7";"77,7"
"Rijswijk (ZH.)";"3,8";"71,1"
"Roerdalen";"3,0";"68,8"
"Roermond";"3,8";"68,9"
"De Ronde Venen";"2,9";"74,8"
"Roosendaal";"3,6";"70,6"
"Rotterdam";"5,3";"69,4"
"Rozendaal";"2,4";"76,8"
"Rucphen";"2,8";"70,1"
"Schagen";"2,9";"73,1"
"Scherpenzeel";"2,7";"77,6"
"Schiedam";"4,1";"72,0"
"Schiermonnikoog";"2,9";"71,9"
"Schouwen-Duiveland";"2,4";"72,2"
"Simpelveld";"2,9";"70,0"
"Sint-Michielsgestel";"2,6";"75,3"
"Sittard-Geleen";"3,5";"67,3"
"Sliedrecht";"3,1";"75,0"
"Sluis";"3,0";"68,1"
"Smallingerland";"3,8";"71,8"
"Soest";"3,2";"72,9"
"Someren";"2,8";"75,6"
"Son en Breugel";"2,8";"76,9"
"Stadskanaal";"3,4";"69,2"
"Staphorst";"2,7";"78,6"
"Stede Broec";"3,0";"74,1"
"Steenbergen";"2,9";"73,6"
"Steenwijkerland";"3,1";"73,4"
"Stein (L.)";"3,0";"69,1"
"Stichtse Vecht";"3,0";"74,4"
"Súdwest-Fryslân";"3,5";"72,6"
"Terneuzen";"2,9";"69,9"
"Terschelling";"2,8";"74,3"
"Texel";"2,8";"71,0"
"Teylingen";"2,9";"77,1"
"Tholen";"2,8";"74,5"
"Tiel";"3,8";"72,9"
"Tilburg";"4,0";"73,2"
"Tubbergen";"2,6";"75,4"
"Twenterand";"2,9";"74,1"
"Tynaarlo";"2,8";"73,2"
"Tytsjerksteradiel";"3,1";"73,2"
"Uitgeest";"2,9";"76,7"
"Uithoorn";"3,3";"76,6"
"Urk";"2,7";"81,3"
"Utrecht (gemeente)";"4,0";"77,3"
"Utrechtse Heuvelrug";"3,1";"73,4"
"Vaals";"4,6";"59,5"
"Valkenburg aan de Geul";"3,0";"69,2"
"Valkenswaard";"3,1";"72,2"
"Veendam";"3,6";"70,6"
"Veenendaal";"3,3";"74,8"
"Veere";"2,4";"71,7"
"Veldhoven";"3,0";"74,4"
"Velsen";"3,3";"73,6"
"Venlo";"3,7";"70,8"
"Venray";"3,3";"73,1"
"Vijfheerenlanden";"3,0";"75,1"
"Vlaardingen";"4,0";"71,7"
"Vlieland";"3,0";"76,1"
"Vlissingen";"3,4";"70,4"
"Voerendaal";"2,8";"71,4"
"Voorne aan Zee";"3,1";"72,2"
"Voorschoten";"3,1";"73,6"
"Voorst";"2,6";"73,8"
"Vught";"2,7";"75,5"
"Waadhoeke";"3,3";"72,4"
"Waalre";"3,0";"74,5"
"Waalwijk";"3,2";"74,4"
"Waddinxveen";"2,9";"76,9"
"Wageningen";"4,4";"73,3"
"Wassenaar";"3,5";"70,0"
"Waterland";"2,9";"72,9"
"Weert";"3,3";"71,6"
"West Betuwe";"2,8";"76,0"
"West Maas en Waal";"2,7";"74,4"
"Westerkwartier";"2,9";"74,2"
"Westerveld";"2,7";"69,1"
"Westervoort";"3,3";"71,6"
"Westerwolde";"3,2";"66,0"
"Westland";"2,7";"77,9"
"Weststellingwerf";"3,2";"71,3"
"Wierden";"2,6";"76,4"
"Wijchen";"3,0";"74,6"
"Wijdemeren";"2,8";"73,6"
"Wijk bij Duurstede";"2,8";"74,4"
"Winterswijk";"3,1";"72,1"
"Woensdrecht";"3,0";"69,8"
"Woerden";"2,9";"76,9"
"De Wolden";"2,6";"73,0"
"Wormerland";"3,1";"73,7"
"Woudenberg";"2,7";"78,0"
"Zaanstad";"3,6";"72,3"
"Zaltbommel";"3,0";"76,2"
"Zandvoort";"3,5";"69,5"
"Zeewolde";"3,0";"77,2"
"Zeist";"3,6";"73,1"
"Zevenaar";"3,2";"71,7"
"Zoetermeer";"3,7";"71,6"
"Zoeterwoude";"2,7";"76,9"
"Zuidplas";"2,9";"76,4"
"Zundert";"2,8";"72,8"
"Zutphen";"3,5";"70,3"
"Zwartewaterland";"2,7";"78,0"
"Zwijndrecht";"3,5";"72,0"
"Zwolle";"3,4";"76,2"
"Bron: CBS"
