"Bestaande koopwoningen; gemiddelde verkoopprijzen, regio"
""
"";"";"";"Perioden"
"Regio's";"Onderwerp";"";"2023"
"Aa en Hunze";"Gemiddelde verkoopprijs";"euro";"411021"
"Aalburg";"Gemiddelde verkoopprijs";"euro";""
"Aalsmeer";"Gemiddelde verkoopprijs";"euro";"536574"
"Aalten";"Gemiddelde verkoopprijs";"euro";"318710"
"Ter Aar";"Gemiddelde verkoopprijs";"euro";""
"Aarle-Rixtel";"Gemiddelde verkoopprijs";"euro";""
"Abcoude";"Gemiddelde verkoopprijs";"euro";""
"Achtkarspelen";"Gemiddelde verkoopprijs";"euro";"319773"
"Akersloot";"Gemiddelde verkoopprijs";"euro";""
"Alblasserdam";"Gemiddelde verkoopprijs";"euro";"359952"
"Albrandswaard";"Gemiddelde verkoopprijs";"euro";"468361"
"Alkemade";"Gemiddelde verkoopprijs";"euro";""
"Alkmaar";"Gemiddelde verkoopprijs";"euro";"393418"
"Almelo";"Gemiddelde verkoopprijs";"euro";"306698"
"Almere";"Gemiddelde verkoopprijs";"euro";"424531"
"Alphen aan den Rijn";"Gemiddelde verkoopprijs";"euro";"401474"
"Alphen en Riel";"Gemiddelde verkoopprijs";"euro";""
"Alphen-Chaam";"Gemiddelde verkoopprijs";"euro";"461830"
"Altena";"Gemiddelde verkoopprijs";"euro";"404703"
"Ambt Delden";"Gemiddelde verkoopprijs";"euro";""
"Ambt Montfort";"Gemiddelde verkoopprijs";"euro";""
"Ameland";"Gemiddelde verkoopprijs";"euro";"353454"
"Amerongen";"Gemiddelde verkoopprijs";"euro";""
"Amersfoort";"Gemiddelde verkoopprijs";"euro";"466025"
"Ammerzoden";"Gemiddelde verkoopprijs";"euro";""
"Amstelveen";"Gemiddelde verkoopprijs";"euro";"615382"
"Amsterdam";"Gemiddelde verkoopprijs";"euro";"568161"
"Andijk";"Gemiddelde verkoopprijs";"euro";""
"Angerlo";"Gemiddelde verkoopprijs";"euro";""
"Anloo";"Gemiddelde verkoopprijs";"euro";""
"Anna Paulowna";"Gemiddelde verkoopprijs";"euro";""
"Apeldoorn";"Gemiddelde verkoopprijs";"euro";"407625"
"Appingedam";"Gemiddelde verkoopprijs";"euro";""
"Arcen en Velden";"Gemiddelde verkoopprijs";"euro";""
"Arnemuiden";"Gemiddelde verkoopprijs";"euro";""
"Arnhem";"Gemiddelde verkoopprijs";"euro";"369114"
"Assen";"Gemiddelde verkoopprijs";"euro";"334100"
"Asten";"Gemiddelde verkoopprijs";"euro";"439900"
"Avereest";"Gemiddelde verkoopprijs";"euro";""
"Axel";"Gemiddelde verkoopprijs";"euro";""
"Baarle-Nassau";"Gemiddelde verkoopprijs";"euro";"391221"
"Baarn";"Gemiddelde verkoopprijs";"euro";"539068"
"Bakel en Milheeze";"Gemiddelde verkoopprijs";"euro";""
"Barendrecht";"Gemiddelde verkoopprijs";"euro";"466518"
"Barneveld";"Gemiddelde verkoopprijs";"euro";"488905"
"Bathmen";"Gemiddelde verkoopprijs";"euro";""
"Bedum";"Gemiddelde verkoopprijs";"euro";""
"Beek (L.)";"Gemiddelde verkoopprijs";"euro";"331369"
"Beek en Donk";"Gemiddelde verkoopprijs";"euro";""
"Beekdaelen";"Gemiddelde verkoopprijs";"euro";"335685"
"Beemster";"Gemiddelde verkoopprijs";"euro";""
