municipality	avg_price	avg_surface	m2_price	closest_airport	distance_to_closest_airport
Aa en Hunze	411021.0	183.0	2246.0163934426228	Schiphol	153.22683676323877
Aalsmeer	536574.0	126.0	4258.523809523809	Schiphol	6.461962753581837
Aalten	318710.0	140.0	2276.5	Eindhoven	97.13195709174678
Achtkarspelen	319773.0	142.0	2251.9225352112676	Schiphol	137.2109917555231
Alblasserdam	359952.0	109.0	3302.3119266055046	Schiphol	50.51158090748316
Albrandswaard	468361.0	129.0	3630.705426356589	Schiphol	55.79176557881386
Alkmaar	393418.0	104.0	3782.8653846153848	Schiphol	31.883673212532784
Almelo	306698.0	120.0	2555.8166666666666	Schiphol	129.98368708847872
Almere	424531.0	113.0	3756.9115044247787	Schiphol	34.33355077658277
Alphen aan den Rijn	401474.0	116.0	3460.9827586206898	Schiphol	23.527992477226018
Alphen-Chaam	461830.0	171.0	2700.7602339181285	Eindhoven	34.36153791955475
Altena	404703.0	140.0	2890.7357142857145	Eindhoven	45.91600249065412
Ameland	353454.0	144.0	2454.5416666666665	Schiphol	142.64514172273348
Amersfoort	466025.0	112.0	4160.9375	Schiphol	46.03284512468587
Amstelveen	615382.0	108.0	5697.981481481482	Schiphol	7.5709541608388085
Amsterdam	568161.0	77.0	7378.714285714285	Schiphol	12.19478134807451
Apeldoorn	407625.0	120.0	3396.875	Schiphol	81.05567257443909
Arnhem	369114.0	104.0	3549.173076923077	Eindhoven	70.88015831902116
Assen	334100.0	119.0	2807.563025210084	Schiphol	143.5749485976062
Asten	439900.0	162.0	2715.432098765432	Eindhoven	28.97237107823092
Baarle-Nassau	391221.0	163.0	2400.128834355828	Eindhoven	33.384947666703
Baarn	539068.0	118.0	4568.372881355932	Schiphol	37.225209980135006
Barendrecht	466518.0	127.0	3673.3700787401576	Schiphol	53.92236227685768
Barneveld	488905.0	136.0	3594.889705882353	Schiphol	62.86253317508456
Beek	331369.0	147.0	2254.2108843537417	Eindhoven	65.05194134639848
Beekdaelen	335685.0	165.0	2034.4545454545455	Eindhoven	67.75526461271168
Beesel	344540.0	142.0	2426.3380281690143	Eindhoven	52.249807165409784
Berg en Dal	427618.0	135.0	3167.5407407407406	Eindhoven	57.107700556959344
Bergeijk	422328.0	172.0	2455.3953488372094	Eindhoven	15.851784480016757
Bergen (L.)	337950.0	158.0	2138.9240506329115	Eindhoven	51.875535245758016
Bergen (NH.)	688064.0	131.0	5252.396946564885	Schiphol	39.02611856852162
Bergen op Zoom	338389.0	121.0	2796.603305785124	Eindhoven	75.39832918312594
Berkelland	401334.0	154.0	2606.064935064935	Eindhoven	109.5642057490619
Bernheze	496395.0	162.0	3064.1666666666665	Eindhoven	27.905608007724943
Best	452216.0	141.0	3207.205673758865	Eindhoven	7.419140650650495
Beuningen	422424.0	137.0	3083.3868613138684	Eindhoven	52.22461726000721
