municipality,m2_price,population,pop_density,size,avg_income,homes_per_capita,unemp_rate,net_labor_participation,multy_family,distance_to_urban_center,station_count,traffic,has_station,log_traffic,log_avg_income,log_distance,log_homes_per_capita,log_multy_family,log_m2_price,c_log_multy_fam,c_log_traffic,c_log_distance,traffic_x_multy_fam,traffic_x_distance,traffic_x_c_multy_fam,traffic_x_c_distance
Maastricht,3344.1696428571427,122734.0,2200.0,5579.0,29.5,0.5245653201231932,4.4,66.1,50.304432916032425,0.6164037956527111,3,555,1,6.318968113746434,3.3843902633457743,-0.4838530177798091,-0.6451853210101974,3.9180932027659017,8.114973703437323,0.7477213595556798,1.1363372608331082,-3.841157209775063,24.758306014964376,-3.0574517910906005,0.8496636415839087,-4.36485006218514
Beek,2254.2108843537417,16132.0,766.0,2107.0,35.7,0.467827919662782,3.1,70.7,24.65880482310852,12.40449480858672,1,49,1,3.8918202981106265,3.5751506887855933,2.518058891492779,-0.7596547437083904,3.205134030345474,7.720555250273715,0.0347621871352519,-1.2908105548026998,-0.8392453005024754,12.473805677463636,9.79983270574954,-0.0448713980622098,1.0833066919571588
Leiden,4833.159574468085,127089.0,5816.0,2185.0,32.2,0.4925524632344262,4.1,74.3,59.36291894309722,15.691292132021692,2,670,1,6.507277712385012,3.471966452550362,2.7531059172113905,-0.708154299709447,4.083669771219842,8.483255688984285,0.9132979280096204,1.3246468594716854,-0.6041982747838639,26.573573286999277,17.915224774904978,1.2097972320999408,-0.8003493471906556
Delft,4411.102272727273,106086.0,4681.0,2266.0,29.7,0.4978602266086006,4.6,72.0,67.1008785216601,9.100448748682291,2,468,1,6.148468295917647,3.391147045808654,2.2083237253489667,-0.6974359108131701,4.206197136614134,8.391879885673212,1.0358252934039118,0.9658374430043208,-1.1489804666462875,25.86166974085159,13.57780841243087,1.0004388527804349,-1.109728355967562
Diemen,5674.8,32785.0,2744.0,1195.0,35.1,0.4867774897056581,4.2,73.9,64.1017607619525,6.533264237681883,2,262,1,5.568344503761097,3.55820113047182,1.876906701647419,-0.7199481602985334,4.160471832534577,8.64379059943783,0.9900999893243548,0.3857136508477703,-1.4803974903478354,23.16694046174677,10.451263116190772,0.3818950815866352,-0.5710095207079404
Eijsden-Margraten,2346.7251461988303,25991.0,335.0,7756.0,38.6,0.441999153553153,2.8,71.6,15.215877437325906,8.015425791865475,1,34,1,3.5263605246161616,3.6532522764707855,2.0813679090254475,-0.816447311944388,2.722339450915567,7.760776080428657,-0.4480323922946549,-1.6562703282971647,-1.2759362829698069,9.599950374313892,7.33965363159022,0.7420627574736323,2.113295406280666
Amsterdam,7378.714285714285,918117.0,4880.0,18812.0,36.8,0.517217304548331,5.0,72.9,87.36254016922669,0.4484067223779206,11,3777,1,8.236685322712457,3.605497845174886,-0.8020545959742962,-0.659292174507388,4.47006658860256,8.906354686389268,1.2996947453923378,3.054054469799131,-4.15935878796955,36.81853186189005,-6.606271318675555,3.969338546539913,-12.7029082978967
's-Gravenhage,4400.946808510638,562839.0,6827.0,8244.0,33.8,0.4801017697778583,4.7,69.3,78.74583672563097,0.2573369552008485,4,1176,1,7.069874128458572,3.520460802488973,-1.3573689431098206,-0.7337571771828045,4.36622540933212,8.389574980510067,1.1958535661218983,1.887243275545246,-4.714673135105075,30.868664060455597,-9.596427573665276,2.256866601200355,-8.897735170620876
Zandvoort,5740.198113207547,17542.0,547.0,3208.0,37.5,0.560084368943108,3.5,69.5,52.80407124681934,24.514560633536917,1,90,1,4.499809670330265,3.624340932976365,3.199267252590434,-0.5796678477738649,3.966588294686964,8.65524900321409,0.796216451476742,-0.6828211825830612,-0.1580369394048202,17.848892366651235,14.396093721177374,-0.5436734589894375,0.1079109698562069
Bloemendaal,6559.120481927711,23922.0,602.0,3977.0,74.3,0.4289775102416186,3.1,72.3,27.64568310270902,21.651777766706047,2,155,1,5.043425116919247,4.308110951723714,3.0750875650129483,-0.8463507851074998,3.319469589295033,8.788611800072688,0.1490977460848106,-0.1392057359940794,-0.2822166269823061,16.741496301500185,15.50897386211235,-0.0207552614787944,0.0392861732688385
