municipality,m2_price,population,pop_density,size,avg_income,homes_per_capita,unemp_rate,net_labor_participation,multy_family,distance_to_urban_center,station_count,traffic,has_station
Aa en Hunze,2246.0163934426228,25724.0,93.0,27606.0,36.7,0.4442543927849479,2.7,71.4,8.575428771438572,27.50573970300652,0,,0
Aalsmeer,4258.523809523809,33063.0,1645.0,2010.0,41.5,0.4071015939267459,3.1,78.4,21.931649331352155,15.790942415780567,0,,0
Aalten,2276.5,27244.0,282.0,9653.0,34.1,0.44648362942299225,2.7,73.9,17.790200591910555,93.85344774827088,1,68.0,1
Achtkarspelen,2251.9225352112676,28149.0,275.0,10221.0,31.2,0.4365696827596007,3.2,72.2,12.490845471559933,28.21505295157997,1,95.0,1
Alblasserdam,3302.3119266055046,20356.0,2320.0,877.0,35.2,0.4150618982118294,3.1,75.6,31.743401585986508,14.469833577712933,0,,0
Albrandswaard,3630.705426356589,26357.0,1217.0,2167.0,41.8,0.40710247752020334,3.0,76.4,19.440820130475302,8.533938173688913,0,,0
Alkmaar,3782.8653846153848,111834.0,1014.0,11031.0,35.0,0.4776454387753277,3.4,73.1,37.29149896100492,26.772804362399423,2,176.0,1
Almelo,2555.8166666666666,73949.0,1101.0,6718.0,31.5,0.46068236216852154,4.0,70.7,28.693457011183842,97.04999484182952,2,179.5,1
Almere,3756.9115044247787,222825.0,1725.0,12918.0,35.5,0.4070010097610232,4.1,73.5,29.068254493328922,23.238827534500565,6,198.33333333333334,1
Alphen aan den Rijn,3460.9827586206898,114182.0,907.0,12593.0,37.3,0.4381688882661015,3.0,76.0,35.711858647638465,23.728106178443777,2,163.5,1
Alphen-Chaam,2700.7602339181285,10463.0,113.0,9298.0,40.0,0.431711746153111,2.6,73.1,11.15784812928935,40.92021089877641,0,,0
Altena,2890.7357142857145,57726.0,289.0,19974.0,37.5,0.40189862453660397,2.6,75.6,12.581896551724137,36.6595570002709,0,,0
Ameland,2454.5416666666665,3840.0,68.0,5659.0,47.5,0.48411458333333335,2.9,74.6,20.763851533082303,60.50234108626485,0,,0
Amersfoort,4160.9375,160759.0,2572.0,6249.0,37.6,0.43992560292114286,3.6,76.4,37.583778739289045,20.195481300237503,4,253.5,1
Amstelveen,5697.981481481482,94418.0,2297.0,4111.0,40.7,0.4541506916054142,4.1,73.8,51.7607276119403,9.440665154583757,0,,0
Amsterdam,7378.714285714285,918117.0,4880.0,18812.0,36.8,0.517217304548331,5.0,72.9,87.36254016922669,0.4484067223779206,11,343.3636363636364,1
Apeldoorn,3396.875,167191.0,492.0,33986.0,35.3,0.44916293341148744,3.3,73.8,29.365079365079367,55.65205614368325,3,118.0,1
Arnhem,3549.173076923077,165770.0,1696.0,9774.0,31.7,0.4814924292694697,4.0,72.5,48.99081649272711,53.710539806357104,4,230.5,1
Assen,2807.563025210084,69414.0,848.0,8188.0,32.8,0.4753796064194543,3.6,72.4,30.168495060306682,24.223010947632623,1,150.0,1
Asten,2715.432098765432,17242.0,246.0,7021.0,35.8,0.41903491474306925,2.9,74.3,14.643598615916956,22.38614396603467,0,,0
Baarle-Nassau,2400.128834355828,7071.0,93.0,7612.0,35.8,0.41889407438834675,2.9,69.7,13.943281566509116,39.502383326433964,0,,0
Baarn,4568.372881355932,25008.0,769.0,3254.0,41.5,0.47144913627639157,3.3,72.9,34.130619168787106,15.868620921516381,1,139.0,1
Barendrecht,3673.3700787401576,48812.0,2493.0,1958.0,41.0,0.40461361960173725,3.2,75.4,27.29113924050633,8.912705364370636,1,122.0,1
Barneveld,3594.889705882353,61655.0,351.0,17584.0,37.4,0.38238585678371584,2.8,77.9,21.76789955887343,36.38749146626961,3,114.0,1
Beek,2254.2108843537417,16132.0,766.0,2107.0,35.7,0.46782791966278203,3.1,70.7,24.65880482310852,12.404494808586719,1,49.0,1
Beekdaelen,2034.4545454545455,35966.0,459.0,7830.0,35.8,0.46613468275593617,2.9,69.8,15.013420817178647,17.04746210637929,2,49.0,1
Beesel,2426.3380281690143,13449.0,482.0,2788.0,33.4,0.45319354598854933,3.1,71.6,15.110746513535686,45.48168172192202,1,71.0,1
Berg en Dal,3167.5407407407406,35420.0,410.0,8639.0,35.1,0.4540372670807453,3.0,70.5,19.991294615097623,55.42977307464937,0,,0
Bergeijk,2455.3953488372094,19092.0,189.0,10102.0,39.2,0.4308087156924366,2.7,74.4,13.082066869300913,15.322212048905735,0,,0
Bergen (L.),2138.9240506329115,13119.0,127.0,10326.0,34.2,0.4448509794953884,3.0,71.5,7.042494859492804,47.25844743171804,0,,0
Bergen (NH.),5252.396946564885,30138.0,304.0,9900.0,43.6,0.5134050036498772,3.0,68.9,28.617591934337234,36.514954894352385,0,,0
Bergen op Zoom,2796.603305785124,68864.0,861.0,7997.0,34.4,0.45743784851301117,3.6,70.3,30.224437319450175,48.63954548367168,1,109.0,1
Berkelland,2606.064935064935,44022.0,171.0,25809.0,34.6,0.45068374903457364,2.8,72.6,19.243951612903228,99.01754279009788,1,62.0,1
Bernheze,3064.1666666666665,32263.0,360.0,8973.0,38.9,0.4062548430090196,2.7,75.4,12.230106050202181,29.299501088657852,0,,0
Best,3207.205673758865,30897.0,912.0,3389.0,38.5,0.4316600317182898,3.1,75.6,20.16195546224788,11.268529477877863,1,121.0,1
Beuningen,3083.3868613138684,26573.0,609.0,4360.0,37.3,0.4286681970421104,3.1,74.5,15.626371696953736,49.24702591438428,0,,0
Beverwijk,3737.181818181818,42711.0,2327.0,1835.0,34.1,0.46606260682259837,3.6,73.8,45.40339596101678,21.24547844747138,1,77.0,1
