municipality,m2_price,population,pop_density,size,avg_income,homes_per_capita,unemp_rate,net_labor_participation,multy_family,distance_to_urban_center,traffic,has_station,log_avg_income,log_distance,log_homes_per_capita,log_multy_family,log_m2_price,station_x_multy_fam,station_x_pop_den,station_x_distance
Aa en Hunze,2246.0163934426228,25724.0,93.0,27606.0,36.7,0.4442543927849479,2.7,71.4,8.575428771438572,27.50573970300652,0,0,3.6027767550605247,3.3143946993672375,-0.8113579239040901,2.1489009943020454,7.716913434222162,0.0,0.0,0.0
Aalsmeer,4258.523809523809,33063.0,1645.0,2010.0,41.5,0.4071015939267459,3.1,78.4,21.931649331352155,15.790942415780567,0,0,3.7256934272366524,2.7594365108298025,-0.8986925081609329,3.0879307685097355,8.356677855624284,0.0,0.0,0.0
Aalten,2276.5,27244.0,282.0,9653.0,34.1,0.44648362942299225,2.7,73.9,17.790200591910555,93.85344774827088,68,1,3.5292973842894715,4.541734499153379,-0.8063525435639536,2.878647777157208,7.730394454774836,2.878647777157208,282.0,4.541734499153379
Achtkarspelen,2251.9225352112676,28149.0,275.0,10221.0,31.2,0.4365696827596007,3.2,72.2,12.490845471559933,28.21505295157997,95,1,3.4404180948154366,3.3398556281366902,-0.8288072766735622,2.5249960137247918,7.719539590449151,2.5249960137247918,275.0,3.3398556281366902
Alblasserdam,3302.3119266055046,20356.0,2320.0,877.0,35.2,0.4150618982118294,3.1,75.6,31.743401585986508,14.469833577712933,0,0,3.5610460826040513,2.6720660393825697,-0.8793276175558785,3.45768487967687,8.102378085980137,0.0,0.0,0.0
Albrandswaard,3630.705426356589,26357.0,1217.0,2167.0,41.8,0.40710247752020334,3.0,76.4,19.440820130475302,8.533938173688913,0,0,3.7328963395307104,2.1440509400347274,-0.8986903377137724,2.967374985924065,8.197182240708456,0.0,0.0,0.0
Alkmaar,3782.8653846153848,111834.0,1014.0,11031.0,35.0,0.4776454387753277,3.4,73.1,37.29149896100492,26.772804362399423,352,1,3.5553480614894135,3.28738660969963,-0.7388865816149119,3.618765390781734,8.238237039705783,3.618765390781734,1014.0,3.28738660969963
Almelo,2555.8166666666666,73949.0,1101.0,6718.0,31.5,0.46068236216852154,4.0,70.7,28.693457011183842,97.04999484182952,359,1,3.449987545831587,4.575226256465399,-0.7750464926255012,3.3566691180700845,7.846127086268712,3.3566691180700845,1101.0,4.575226256465399
Almere,3756.9115044247787,222825.0,1725.0,12918.0,35.5,0.4070010097610232,4.1,73.5,29.068254493328922,23.238827534500565,1190,1,3.56953269648137,3.145824480388355,-0.8989396125573047,3.369646667818889,8.231352490445547,3.369646667818889,1725.0,3.145824480388355
Alphen aan den Rijn,3460.9827586206898,114182.0,907.0,12593.0,37.3,0.4381688882661015,3.0,76.0,35.711858647638465,23.728106178443777,327,1,3.6189933266497696,3.1666602602019744,-0.8251508532776417,3.5754828086315698,8.149307862005106,3.5754828086315698,907.0,3.1666602602019744
