municipality,m2_price,population,pop_density,size,avg_income,homes_per_capita,unemp_rate,net_labor_participation,multy_family,distance_to_urban_center,station_count,traffic,has_station,log_traffic,log_avg_income,log_distance,log_homes_per_capita,log_multy_family,log_m2_price,c_log_multy_fam,c_log_traffic,c_log_distance,traffic_x_multy_fam,traffic_x_distance,traffic_x_c_multy_fam,traffic_x_c_distance
Aalten,2276.5,27244.0,282.0,9653.0,34.1,0.44648362942299225,2.7,73.9,17.790200591910555,93.85344774827088,1,68.0,1,4.219507705176107,3.5292973842894715,4.541734499153379,-0.8063525435639536,2.878647777157208,7.730394454774836,-0.29172406605301404,-0.4324571157634036,1.1844303071581246,12.146476476202912,19.16388371404183,0.1261581482040591,-0.5122153144563648
Achtkarspelen,2251.9225352112676,28149.0,275.0,10221.0,31.2,0.4365696827596007,3.2,72.2,12.490845471559933,28.21505295157997,1,95.0,1,4.553876891600541,3.4404180948154366,3.3398556281366902,-0.8288072766735622,2.5249960137247918,7.719539590449151,-0.6453758294854302,-0.09808792933896981,-0.017448563858564192,11.49852099828481,15.209291366253682,0.0633035787596459,0.001711493498825347
Alkmaar,3782.8653846153848,111834.0,1014.0,11031.0,35.0,0.4776454387753277,3.4,73.1,37.29149896100492,26.772804362399423,2,176.0,1,5.170483995038151,3.5553480614894135,3.28738660969963,-0.7388865816149119,3.618765390781734,8.238237039705783,0.44839354757151195,0.5185191740986408,-0.06991758229562439,18.710768534834937,16.997379850954665,0.23250065195793998,-0.03625360702690091
Almelo,2555.8166666666666,73949.0,1101.0,6718.0,31.5,0.46068236216852154,4.0,70.7,28.693457011183842,97.04999484182952,2,179.5,1,5.190175207928333,3.449987545831587,4.575226256465399,-0.7750464926255012,3.3566691180700845,7.846127086268712,0.18629727485986258,0.5382103869888226,1.2179220644701445,17.421700837826016,23.746225886969473,0.1002671283972897,0.6554983056407022
Almere,3756.9115044247787,222825.0,1725.0,12918.0,35.5,0.4070010097610232,4.1,73.5,29.068254493328922,23.238827534500565,6,198.33333333333334,1,5.28994911687752,3.56953269648137,3.145824480388355,-0.8989396125573047,3.369646667818889,8.231352490445547,0.19927482460866708,0.6379842959380095,-0.21147971160689938,17.82525941461781,16.64125143188206,0.12713420867613082,-0.134920734914701
Alphen aan den Rijn,3460.9827586206898,114182.0,907.0,12593.0,37.3,0.4381688882661015,3.0,76.0,35.711858647638465,23.728106178443777,2,163.5,1,5.096812990337308,3.6189933266497696,3.1666602602019744,-0.8251508532776417,3.5754828086315698,8.149307862005106,0.40511096542134784,0.4448481693977975,-0.19064393179327999,18.22356722576111,16.139875150182345,0.18021287137066103,-0.08480760406503916
Amersfoort,4160.9375,160759.0,2572.0,6249.0,37.6,0.43992560292114286,3.6,76.4,37.583778739289045,20.195481300237503,4,253.5,1,5.535363823031238,3.6270040503958487,3.005458881374983,-0.8211496506363168,3.6265725408007032,8.333495688442351,0.4562006975904813,0.8833990020917275,-0.35184531062027125,20.07439844394669,16.636308363571015,0.40300724100498114,-0.31081979629260154
Amsterdam,7378.714285714285,918117.0,4880.0,18812.0,36.8,0.517217304548331,5.0,72.9,87.36254016922669,0.4484067223779206,11,343.3636363636364,1,5.838790049914087,3.6054978451748854,-0.8020545959742962,-0.659292174507388,4.47006658860256,8.906354686389268,1.2996947453923378,1.186825228974576,-4.15935878796955,26.09978031998603,-4.683028394462584,1.5425105137973145,-4.936431945919376
Apeldoorn,3396.875,167191.0,492.0,33986.0,35.3,0.44916293341148744,3.3,73.8,29.365079365079367,55.65205614368325,3,118.0,1,4.770684624465665,3.5638829639392506,4.019119024814082,-0.800369576415949,3.3798061916808377,8.130611170309574,0.20943434847061582,0.11871980352615452,0.6618148328188278,16.123989432325626,19.17394933557798,0.02486400470205969,0.07857052692294604
Arnhem,3549.173076923077,165770.0,1696.0,9774.0,31.7,0.4814924292694697,4.0,72.5,48.99081649272711,53.710539806357104,4,230.5,1,5.440250862436703,3.456316680883235,3.983609254255191,-0.7308647710877763,3.8916328620298084,8.174469919257634,0.7212610188195865,0.7882860414971926,0.6263050622599367,21.171459033944682,21.671833681072634,0.568559993411524,0.49370753829853825
Assen,2807.563025210084,69414.0,848.0,8188.0,32.8,0.4753796064194543,3.6,72.4,30.168495060306682,24.223010947632623,1,150.0,1,5.0106352940962555,3.490428515390098,3.187303046980965,-0.7436416227055541,3.4067981699349983,7.940072135233319,0.23642632672477637,0.35867047315674494,-0.17000114501428953,17.070223150138837,15.970413140183359,0.08479914247308672,-0.060974391119463636
Baarn,4568.372881355932,25008.0,769.0,3254.0,41.5,0.47144913627639157,3.3,72.9,34.130619168787106,15.868620921516381,1,139.0,1,4.934473933130692,3.7256934272366524,2.764343632307254,-0.7519440591298412,3.53019490423625,8.426912377022752,0.35982306102602823,0.2825091121911818,-0.5929605596880005,17.419654733824576,13.64058159583596,0.10165329351637667,-0.16751676128184328
Barendrecht,3673.3700787401576,48812.0,2493.0,1958.0,41.0,0.40461361960173725,3.2,75.4,27.29113924050633,8.912705364370636,1,122.0,1,4.804021044733257,3.713572066704308,2.1874778277605706,-0.9048226929224622,3.3065620795618664,8.208864797275558,0.1361902363516445,0.15205622379374617,-1.1698263642346838,15.884793815932168,10.508689519449172,0.020708573057208843,-0.1778793794398935
Barneveld,3594.889705882353,61655.0,351.0,17584.0,37.4,0.38238585678371584,2.8,77.9,21.76789955887343,36.38749146626961,3,114.0,1,4.736198448394496,3.6216707044204863,3.5942250745480346,-0.9613250838871003,3.0804363873060874,8.187268589818682,-0.08993545590413454,0.08423362745498508,0.2369208825527802,14.589558037937037,17.022963221254994,-0.0075755896876231075,0.019956705357257163
Beek,2254.2108843537417,16132.0,766.0,2107.0,35.7,0.46782791966278203,3.1,70.7,24.65880482310852,12.404494808586719,1,49.0,1,3.8918202981106265,3.5751506887855933,2.518058891492779,-0.7596547437083904,3.205134030345474,7.720555250273715,0.03476218713525192,-0.7601445228288841,-0.8392453005024754,12.473805677463636,9.799832705749541,-0.026424286152414444,0.6379477184868376
Beekdaelen,2034.4545454545455,35966.0,459.0,7830.0,35.8,0.46613468275593617,2.9,69.8,15.013420817178647,17.04746210637929,2,49.0,1,3.8918202981106265,3.5779478934066544,2.8360013425845247,-0.7632806678248133,2.7089445222230784,7.617983025316785,-0.46142732098714356,-0.7601445228288841,-0.5213028494107297,10.542725278043369,11.037207590539442,0.3507514507319826,0.39626550571465674
Beesel,2426.3380281690143,13449.0,482.0,2788.0,33.4,0.45319354598854933,3.1,71.6,15.110746513535686,45.48168172192202,1,71.0,1,4.2626798770413155,3.5085558999826545,3.8173096453737627,-0.7914359909081773,2.7154061803280265,7.794138415399099,-0.4549656628821954,-0.3892849438981951,0.4600054533785083,11.5749072828779,16.27196900977046,0.1771112825507006,-0.17907319711131642
Bergen op Zoom,2796.603305785124,68864.0,861.0,7997.0,34.4,0.45743784851301117,3.6,70.3,30.224437319450175,48.63954548367168,1,109.0,1,4.6913478822291435,3.5380565643793527,3.88443689311737,-0.7821142537398257,3.408650779932207,7.93616085467897,0.23827893672198508,0.03938306128963287,0.5271327011221154,15.991166617693677,18.223244792178928,0.00938415396895049,0.020760099476061996
Berkelland,2606.064935064935,44022.0,171.0,25809.0,34.6,0.45068374903457364,2.8,72.6,19.243951612903228,99.01754279009788,1,62.0,1,4.127134385045092,3.543853682063679,4.595297034336521,-0.7969894071031854,2.9571968094349206,7.865596674897353,-0.21317503377530134,-0.5248304358944189,1.2379928423412663,12.204748635564497,18.96540839990599,0.11188074589809888,-0.6497363230801374
Best,3207.205673758865,30897.0,912.0,3389.0,38.5,0.4316600317182898,3.1,75.6,20.16195546224788,11.268529477877863,1,121.0,1,4.795790545596741,3.6506582412937387,2.4220138384271808,-0.8401169641715169,3.0037974356345614,8.073155330395974,-0.16657440757566055,0.14382572465723076,-0.9352903535680737,14.405583342703965,11.615471067633546,-0.02395768487891829,-0.13451881286684578
Beverwijk,3737.181818181818,42711.0,2327.0,1835.0,34.1,0.46606260682259837,3.6,73.8,45.40339596101678,21.24547844747138,1,77.0,1,4.343805421853684,3.5292973842894715,3.056144093787252,-0.7634353044758467,3.8155869031533074,8.226087081815939,0.6452150599430855,-0.30815939908582646,-0.3011600982080025,16.574167077471245,13.27529528455918,-0.19882908515318673,0.09280531489240652
De Bilt,4677.3,43884.0,663.0,6619.0,44.1,0.4531036368608149,3.3,73.1,35.33494266747134,6.702159939086262,2,104.5,1,4.6491870714048655,3.7864597824528,1.902429853412085,-0.7916344007228183,3.5648723515993006,8.450476299350616,0.3945005083890787,-0.0027777495346450465,-1.4548743385831695,16.57375844826413,8.844752278738119,-0.0010958236035949977,0.004041276516966419
Bloemendaal,6559.120481927711,23922.0,602.0,3977.0,74.3,0.4289775102416186,3.1,72.3,27.64568310270902,21.651777766706047,2,77.5,1,4.350277936359301,4.308110951723714,3.0750875650129483,-0.8463507851074998,3.3194695892950326,8.788611800072688,0.14909774608481063,-0.3016868845802092,-0.2822166269823061,14.440615314725852,13.377485586448678,-0.044980834514257606,0.08514105497102693
