"Regionale kerncijfers Nederland"
""
"";"";"Onderwerp"
"";"";"Bevolking|Bevolkingssamenstelling op 1 januari|Totale bevolking";"Bevolking|Bevolkingssamenstelling op 1 januari|Bevolkingsdichtheid";"Milieu en bodemgebruik|Bodemgebruik|Oppervlakte|Land"
"Regio's";"Perioden";"aantal";"aantal inwoners per km²";"km²"
"Aa en Hunze";"2023";"25724";"93";"276,06"
"Aalburg";"2023";"";"";""
"Aalsmeer";"2023";"33063";"1645";"20,10"
"Aalten";"2023";"27244";"282";"96,53"
"Ter Aar";"2023";"";"";""
"Aarle-Rixtel";"2023";"";"";""
"Abcoude";"2023";"";"";""
"Achtkarspelen";"2023";"28149";"275";"102,21"
"Akersloot";"2023";"";"";""
"Alblasserdam";"2023";"20356";"2320";"8,77"
"Albrandswaard";"2023";"26357";"1217";"21,67"
"Alkemade";"2023";"";"";""
"Alkmaar";"2023";"111834";"1014";"110,31"
"Almelo";"2023";"73949";"1101";"67,18"
"Almere";"2023";"222825";"1725";"129,18"
"Alphen aan den Rijn";"2023";"114182";"907";"125,93"
"Alphen en Riel";"2023";"";"";""
"Alphen-Chaam";"2023";"10463";"113";"92,98"
"Altena";"2023";"57726";"289";"199,74"
"Ambt Delden";"2023";"";"";""
"Ambt Montfort";"2023";"";"";""
"Ameland";"2023";"3840";"68";"56,59"
"Amerongen";"2023";"";"";""
"Amersfoort";"2023";"160759";"2572";"62,49"
"Ammerzoden";"2023";"";"";""
"Amstelveen";"2023";"94418";"2297";"41,11"
"Amsterdam";"2023";"918117";"4880";"188,12"
"Andijk";"2023";"";"";""
"Angerlo";"2023";"";"";""
"Anloo";"2023";"";"";""
"Anna Paulowna";"2023";"";"";""
"Apeldoorn";"2023";"167191";"492";"339,86"
"Appingedam";"2023";"";"";""
"Arcen en Velden";"2023";"";"";""
"Arnemuiden";"2023";"";"";""
"Arnhem";"2023";"165770";"1696";"97,74"
"Assen";"2023";"69414";"848";"81,88"
"Asten";"2023";"17242";"246";"70,21"
"Avereest";"2023";"";"";""
"Axel";"2023";"";"";""
"Baarle-Nassau";"2023";"7071";"93";"76,12"
"Baarn";"2023";"25008";"769";"32,54"
"Bakel en Milheeze";"2023";"";"";""
"Barendrecht";"2023";"48812";"2493";"19,58"
"Barneveld";"2023";"61655";"351";"175,84"
"Bathmen";"2023";"";"";""
"Bedum";"2023";"";"";""
"Beek (L.)";"2023";"16132";"766";"21,07"
"Beek en Donk";"2023";"";"";""
"Beekdaelen";"2023";"35966";"459";"78,30"
"Beemster";"2023";"";"";""
"Beesel";"2023";"13449";"482";"27,88"
"Beilen";"2023";"";"";""
"Belfeld";"2023";"";"";""
"Bellingwedde";"2023";"";"";""
"Bemmel";"2023";"";"";""
"Bennebroek";"2023";"";"";""
"Berg en Dal";"2023";"35420";"410";"86,39"
"Bergambacht";"2023";"";"";""
"Bergeijk";"2023";"19092";"189";"101,02"
"Bergen (L.)";"2023";"13119";"127";"103,26"
"Bergen (NH.)";"2023";"30138";"304";"99,00"
"Bergen op Zoom";"2023";"68864";"861";"79,97"
"Bergeyk";"2023";"";"";""
"Bergh";"2023";"";"";""
"Bergschenhoek";"2023";"";"";""
"Berkel en Rodenrijs";"2023";"";"";""
"Berkel-Enschot";"2023";"";"";""
"Berkelland";"2023";"44022";"171";"258,09"
"Berlicum";"2023";"";"";""
"Bernheze";"2023";"32263";"360";"89,73"
"Bernisse";"2023";"";"";""
"Best";"2023";"30897";"912";"33,89"
"Beuningen";"2023";"26573";"609";"43,60"
"Beverwijk";"2023";"42711";"2327";"18,35"
"het Bildt";"2023";"";"";""
"De Bilt";"2023";"43884";"663";"66,19"
"Binnenmaas";"2023";"";"";""
"Bladel";"2023";"21009";"279";"75,33"
"Bladel en Netersel";"2023";"";"";""
"Blaricum";"2023";"12490";"1128";"11,07"
"Bleiswijk";"2023";"";"";""
"Bloemendaal";"2023";"23922";"602";"39,77"
"Boarnsterhim";"2023";"";"";""
"Bodegraven";"2023";"";"";""
"Bodegraven-Reeuwijk";"2023";"36308";"482";"75,40"
"Boekel";"2023";"11163";"324";"34,50"
"Ten Boer";"2023";"";"";""
"Bolsward";"2023";"";"";""
"Borculo";"2023";"";"";""
"Borger";"2023";"";"";""
"Borger-Odoorn";"2023";"25919";"94";"274,69"
"Born";"2023";"";"";""
"Borne";"2023";"24524";"944";"25,99"
"Borsele";"2023";"23159";"164";"141,47"
"Boskoop";"2023";"";"";""
"Boxmeer";"2023";"";"";""
"Boxtel";"2023";"33748";"489";"69,01"
"Brakel";"2023";"";"";""
"Breda";"2023";"186438";"1483";"125,69"
"Brederwiede";"2023";"";"";""
"Breukelen";"2023";"";"";""
"Brielle";"2023";"";"";""
"Broekhuizen";"2023";"";"";""
"Bronckhorst";"2023";"36277";"128";"283,53"
"Brouwershaven";"2023";"";"";""
"Bruinisse";"2023";"";"";""
"Brummen";"2023";"21105";"252";"83,63"
"Brunssum";"2023";"27682";"1606";"17,24"
"Budel";"2023";"";"";""
"Bunnik";"2023";"16026";"434";"36,93"
"Bunschoten";"2023";"22500";"740";"30,39"
"Buren";"2023";"27725";"208";"133,60"
"Bussum";"2023";"";"";""
"Capelle aan den IJssel";"2023";"67552";"4777";"14,14"
"Castricum";"2023";"36345";"732";"49,64"
"Chaam";"2023";"";"";""
"Coevorden";"2023";"35700";"121";"296,11"
"Cothen";"2023";"";"";""
"Cranendonck";"2023";"20851";"273";"76,50"
"Cromstrijen";"2023";"";"";""
"Cuijk";"2023";"";"";""
"Culemborg";"2023";"29729";"1016";"29,27"
"Dalen";"2023";"";"";""
"Dalfsen";"2023";"29612";"179";"165,02"
"Dantumadeel";"2023";"";"";""
"Dantumadiel";"2023";"19194";"227";"84,60"
"Delft";"2023";"106086";"4681";"22,66"
"Delfzijl";"2023";"";"";""
"Denekamp";"2023";"";"";""
"Deurne";"2023";"32977";"282";"116,76"
"Deventer";"2023";"102781";"787";"130,56"
"Didam";"2023";"";"";""
"Diemen";"2023";"32785";"2744";"11,95"
"Diepenheim";"2023";"";"";""
"Diepenveen";"2023";"";"";""
"Diessen";"2023";"";"";""
"Diever";"2023";"";"";""
"Dijk en Waard";"2023";"88985";"1438";"61,90"
"Dinkelland";"2023";"26743";"152";"175,72"
"Dinteloord en Prinsenland";"2023";"";"";""
"Dinxperlo";"2023";"";"";""
"Dirksland";"2023";"";"";""
"Dodewaard";"2023";"";"";""
"Doesburg";"2023";"11081";"959";"11,56"
"Doetinchem";"2023";"59195";"749";"79,04"
"Domburg";"2023";"";"";""
"Dongen";"2023";"27200";"930";"29,23"
"Dongeradeel";"2023";"";"";""
"Doorn";"2023";"";"";""
