"Woningvoorraad; woningtype op 1 januari, regio"
""
"";""
"";"Onderwerp";"Beginstand woningvoorraad";"Beginstand woningvoorraad";"Beginstand woningvoorraad";"Beginstand woningvoorraad"
"";"Woningtype";"Totaal woningen";"Meergezinswoningen totaal";"Eengezinswoningen totaal";"Vrijstaande woning"
"Regio's";"Perioden";"aantal";"aantal";"aantal";"aantal"
"Aa en Hunze";"2023";"11428";"980";"10448";"5654"
"Aalsmeer";"2023";"13460";"2952";"10508";"1969"
"Aalten";"2023";"12164";"2164";"10000";"3130"
"Achtkarspelen";"2023";"12289";"1535";"10754";"5245"
"Alblasserdam";"2023";"8449";"2682";"5767";"514"
"Albrandswaard";"2023";"10730";"2086";"8644";"1080"
"Alkmaar";"2023";"53417";"19920";"33497";"3350"
"Almelo";"2023";"34067";"9775";"24292";"4097"
"Almere";"2023";"90690";"26362";"64328";"6096"
"Alphen aan den Rijn";"2023";"50031";"17867";"32164";"3849"
"Alphen-Chaam";"2023";"4517";"504";"4013";"2069"
"Altena";"2023";"23200";"2919";"20281";"6642"
"Ameland";"2023";"1859";"386";"1473";"873"
"Amersfoort";"2023";"70722";"26580";"44142";"2667"
"Amstelveen";"2023";"42880";"22195";"20685";"1241"
"Amsterdam";"2023";"474866";"414855";"60011";"2874"
"Apeldoorn";"2023";"75096";"22052";"53044";"12902"
"Arnhem";"2023";"79817";"39103";"40714";"2219"
"Assen";"2023";"32998";"9955";"23043";"3302"
"Asten";"2023";"7225";"1058";"6167";"2025"
"Baarle-Nassau";"2023";"2962";"413";"2549";"1210"
"Baarn";"2023";"11790";"4024";"7766";"1143"
"Barendrecht";"2023";"19750";"5390";"14360";"1055"
"Barneveld";"2023";"23576";"5132";"18444";"4906"
"Beek (L.)";"2023";"7547";"1861";"5686";"1353"
"Beekdaelen";"2023";"16765";"2517";"14248";"4102"
"Beemster";"2023";"";"";"";""
"Beesel";"2023";"6095";"921";"5174";"1356"
"Berg en Dal";"2023";"16082";"3215";"12867";"3402"
"Bergeijk";"2023";"8225";"1076";"7149";"3246"
"Bergen (L.)";"2023";"5836";"411";"5425";"2200"
"Bergen (NH.)";"2023";"15473";"4428";"11045";"3955"
"Bergen op Zoom";"2023";"31501";"9521";"21980";"3226"
"Berkelland";"2023";"19840";"3818";"16022";"5815"
"Bernheze";"2023";"13107";"1603";"11504";"4296"
"Best";"2023";"13337";"2689";"10648";"1721"
"Beuningen";"2023";"11391";"1780";"9611";"2183"
"Beverwijk";"2023";"19906";"9038";"10868";"946"
"De Bilt";"2023";"19884";"7026";"12858";"2586"
"Bladel";"2023";"9121";"1558";"7563";"2670"
"Blaricum";"2023";"5373";"729";"4644";"1269"
"Bloemendaal";"2023";"10262";"2837";"7425";"1602"
"Bodegraven-Reeuwijk";"2023";"15074";"3057";"12017";"2336"
"Boekel";"2023";"4518";"588";"3930";"1762"
"Borger-Odoorn";"2023";"11432";"914";"10518";"6081"
"Borne";"2023";"10307";"1524";"8783";"1798"
"Borsele";"2023";"10015";"774";"9241";"3832"
"Boxmeer";"2023";"";"";"";""
"Boxtel";"2023";"14709";"3901";"10808";"2362"
"Breda";"2023";"86727";"34651";"52076";"6502"
"Brielle";"2023";"";"";"";""
"Bronckhorst";"2023";"16373";"2793";"13580";"5685"
"Brummen";"2023";"9647";"1186";"8461";"2277"
"Brunssum";"2023";"14512";"4425";"10087";"1207"
